trait_label,trained_bucket,target_ancestry,pgs_id,delta,delta_se,gwas_pct_european,gwas_pct_target,gwas_pct_multi_incl_eur,dev_pct_european,dev_pct_target,dev_pct_multi_incl_eur,dev_reported,target_in_gwas,target_in_dev,multi_incl_eur_in_gwas_or_dev,target_possibly_represented,bucket_consistent,pgs_name,dev_method,n_variants,anc_gwas_txt,anc_dev_txt
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000330,0.04200000000000015,0.004245142317818925,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PRS_T2D,LDpred,6437380,European:100,European:100
Type 2 diabetes,Train: European-only,South Asian,PGS000330,-0.0019999999999998908,0.007742356425039247,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PRS_T2D,LDpred,6437380,European:100,European:100
Type 2 diabetes,Train: European-only,East Asian,PGS000713,0.04200000000000004,0.028022670523778288,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D,snpnet (multi-PRS),183830,NA,European:100
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000713,0.050000000000000044,0.004389712927055016,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D,snpnet (multi-PRS),183830,NA,European:100
Type 2 diabetes,Train: European-only,South Asian,PGS000713,0.009000000000000008,0.008307134448389595,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D,snpnet (multi-PRS),183830,NA,European:100
Type 2 diabetes,Train: European-only,East Asian,PGS000729,0.006000000000000005,0.02717626749986817,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D_PGS,LD thinning,2017388,European:100,NA
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000729,0.049000000000000044,0.004389706890545111,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D_PGS,LD thinning,2017388,European:100,NA
Type 2 diabetes,Train: European-only,South Asian,PGS000729,0.0050000000000000044,0.007837687917380537,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D_PGS,LD thinning,2017388,European:100,NA
Type 2 diabetes,Train: European-only,East Asian,PGS000864,0.0129999999999999,0.029462067687924476,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D-gPRS,LD clumping,389243,European:100,NA
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000864,0.05799999999999994,0.004389602226780286,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D-gPRS,LD clumping,389243,European:100,NA
Type 2 diabetes,Train: European-only,South Asian,PGS000864,0.005999999999999894,0.008321175918979464,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D-gPRS,LD clumping,389243,European:100,NA
Type 2 diabetes,Train: European-only,East Asian,PGS000868,0.031000000000000028,0.02847334274562275,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D_221,Genome-wide significant variants,221,European:100,NA
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000868,0.062000000000000055,0.004389676983559408,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D_221,Genome-wide significant variants,221,European:100,NA
Type 2 diabetes,Train: European-only,South Asian,PGS000868,0.015000000000000013,0.008072044175095803,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D_221,Genome-wide significant variants,221,European:100,NA
Type 2 diabetes,Train: European-only,East Asian,PGS001295,0.15008413864048886,0.07255512431698782,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,GBE_HC165,snpnet,385,NA,European:100
Type 2 diabetes,Train: European-only,South Asian,PGS001295,-0.02694586135951116,0.022258018566443404,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,GBE_HC165,snpnet,385,NA,European:100
Breast cancer,Train: European-only,East Asian,PGS001336,-0.04832585954109281,0.02356378436844298,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,GBE_cancer1002,snpnet,555,NA,European:100
Breast cancer,Train: European-only,South Asian,PGS001336,0.027114140458907254,0.011970684805512038,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,GBE_cancer1002,snpnet,555,NA,European:100
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,PGS001800,-0.10399999999999998,0.023239715325403063,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PRS_FEV1,lassosum,1713430,European:100,European:100
Incident chronic obstructive pulmonary disease before age 50 years,Train: European-only,African,PGS001801,-0.10399999999999998,0.023239715325403063,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PRS_Ratio,lassosum,1232916,European:100,European:100
Type 2 diabetes,Train: European-only,East Asian,PGS001818,0.02499999999999991,0.02819353661119786,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,portability-PLR_250.2,Penalized regression (bigstatsr),30745,NA,European:100
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS001818,0.05300000000000005,0.0043897104462959765,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,portability-PLR_250.2,Penalized regression (bigstatsr),30745,NA,European:100
Type 2 diabetes,Train: European-only,South Asian,PGS001818,0.014000000000000012,0.00807252380385844,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,portability-PLR_250.2,Penalized regression (bigstatsr),30745,NA,European:100
Type 2 diabetes,Train: European-only,East Asian,PGS002026,0.008000000000000007,0.030036495786241027,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,portability-ldpred2_250.2,LDpred2 (bigsnpr),830783,NA,European:100
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002026,0.050000000000000044,0.004389726952426251,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,portability-ldpred2_250.2,LDpred2 (bigsnpr),830783,NA,European:100
Type 2 diabetes,Train: European-only,South Asian,PGS002026,0.010000000000000009,0.00807256878693522,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,portability-ldpred2_250.2,LDpred2 (bigsnpr),830783,NA,European:100
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,PGS002238,-0.014000000000000012,0.012711463735465082,58.3,15.1,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,SBP_PRS,PRS-CS,1119444,European:58.3|East Asian:21.8|African:15.1|Hispanic or Latin American:3.6|Additional Asian Ancestries:0.8|Additional Diverse Ancestries:0.4,European:100
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,PGS002239,-0.016000000000000014,0.012618472365142085,58.3,15.1,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,DBP_PRS,PRS-CS,1119054,European:58.3|East Asian:21.8|African:15.1|Hispanic or Latin American:3.6|Additional Asian Ancestries:0.8|Additional Diverse Ancestries:0.4,European:100
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,PGS002250,-0.04999999999999993,0.013556131433691379,NA,NA,NA,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PRS_S4,Select and shrink for summary statistics (S4),27240,NA,European:100
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS002308,0.05800000000000016,0.009347754700621535,81.7,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,PRScsx_T2D,PRS-CSx,1259754,European:81.7|East Asian:16.1|African:2.2,NA
Type 2 diabetes,Train: European-only,East Asian,PGS002671,0.03299999999999992,0.029230683537712788,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,disease_T2D.PolyFun-pred,PolyFun-pred,258382,European:100,NA
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002671,0.05699999999999994,0.004245278293394148,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,disease_T2D.PolyFun-pred,PolyFun-pred,258382,European:100,NA
Type 2 diabetes,Train: European-only,South Asian,PGS002671,0.016999999999999904,0.007994821409419203,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,disease_T2D.PolyFun-pred,PolyFun-pred,258382,European:100,NA
Type 2 diabetes,Train: European-only,East Asian,PGS002771,-0.006999999999999895,0.028475773539175894,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Type_2_diabetes_prscs,PRS-CS,1091608,European:100,NA
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002771,0.04000000000000015,0.004188868467748143,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Type_2_diabetes_prscs,PRS-CS,1091608,European:100,NA
Type 2 diabetes,Train: European-only,South Asian,PGS002771,0.007000000000000117,0.007840113943505292,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Type_2_diabetes_prscs,PRS-CS,1091608,European:100,NA
Type 2 diabetes,Train: European-only,East Asian,PGS002780,0.017999999999999905,0.029487062656656873,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,GTG_T2D_SCT,Stacked clumping and thresholding (SCT),419209,European:100,European:100
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002780,0.061999999999999944,0.004389664238522682,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,GTG_T2D_SCT,Stacked clumping and thresholding (SCT),419209,European:100,European:100
Type 2 diabetes,Train: European-only,South Asian,PGS002780,0.018999999999999906,0.008322936079373382,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,GTG_T2D_SCT,Stacked clumping and thresholding (SCT),419209,European:100,European:100
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,PGS003394,-0.052999999999999936,0.013566309868791749,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PRS_Stepwise,Stepwise logistic regression,36,European:100,European:100
Type 2 diabetes,Train: Multi incl. EUR,East Asian,PGS003443,0.006999999999999895,0.027678361787608772,100,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PRScsx_T2D_LAT_EURweights,PRS-CSx,1092496,European:100,Hispanic or Latin American:100
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS003443,0.04899999999999993,0.00418045110844549,100,0,0,0,100,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,PRScsx_T2D_LAT_EURweights,PRS-CSx,1092496,European:100,Hispanic or Latin American:100
Type 2 diabetes,Train: Multi incl. EUR,South Asian,PGS003443,0.014999999999999902,0.007840551348671326,100,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PRScsx_T2D_LAT_EURweights,PRS-CSx,1092496,European:100,Hispanic or Latin American:100
Colorectal cancer,Train: Multi incl. EUR,African,PGS003850,-0.030000000000000027,0.009180255633153205,27.1,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CRC_PRS_200loci,Genome-wide significant variants,205,East Asian:72.9|European:27.1,NA
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,PGS003850,-0.020000000000000018,0.009177568383813029,27.1,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CRC_PRS_200loci,Genome-wide significant variants,205,East Asian:72.9|European:27.1,NA
Colorectal cancer,Train: European-only,African,PGS003851,-0.10704898666120044,0.02780273585452884,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CRC_PRS_EUR,LDpred,1180765,European:100,NA
Colorectal cancer,Train: European-only,East Asian,PGS003851,-0.04432621120828717,0.032772487540457584,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CRC_PRS_EUR,LDpred,1180765,European:100,NA
Colorectal cancer,Train: European-only,Hispanic or Latin American,PGS003851,-0.05071728498401462,0.02431869340562888,100,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CRC_PRS_EUR,LDpred,1180765,European:100,NA
Colorectal cancer,Train: Multi incl. EUR,African,PGS003852,-0.06000000000000005,0.011414688550190502,27.1,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CRC_PRS_EUR_EAS,LDpred2,1016596,East Asian:72.9|European:27.1,NA
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,PGS003852,-0.030000000000000027,0.00916929372459477,27.1,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CRC_PRS_EUR_EAS,LDpred2,1016596,East Asian:72.9|European:27.1,NA
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS003867,0.04600000000000026,0.004389823699797439,51.1,5.6,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,T2D_PRScs_ARB,PRS-CS,1068166,European:51.1|East Asian:28.4|South Asian:8.3|African:6.6|Hispanic or Latin American:5.6,NA
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,PGS003867,0.008399999999999963,0.010036729237164534,51.1,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T2D_PRScs_ARB,PRS-CS,1068166,European:51.1|East Asian:28.4|South Asian:8.3|African:6.6|Hispanic or Latin American:5.6,NA
Breast cancer,Train: European-only,South Asian,PGS003983,-0.0361667022447455,0.01449318320669863,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,dbslmm.auto.GCST004988.Breast_cancer,DBSLMM-auto,1137459,European:100,European:100
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS003984,-0.00726951747036142,0.011772286677599978,85.2,1.7,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,dbslmm.auto.GCST005838.Stroke,DBSLMM-auto,1121845,European:85.2|East Asian:8.7|African:3.9|South Asian:1.7|Hispanic or Latin American:0.3|Additional Asian Ancestries:0.1,European:100
Breast cancer,Train: European-only,South Asian,PGS003999,-0.02679054853281937,0.014889030411334912,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,lassosum.auto.GCST004988.Breast_cancer,lassosum.auto,13086,European:100,European:100
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004000,-0.0189758967656648,0.011233443230964115,85.2,1.7,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,lassosum.auto.GCST005838.Stroke,lassosum.auto,2371,European:85.2|East Asian:8.7|African:3.9|South Asian:1.7|Hispanic or Latin American:0.3|Additional Asian Ancestries:0.1,European:100
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004015,0.0052240127908415035,0.011094212004807823,85.2,1.7,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,lassosum.CV.GCST005838.Stroke,lassosum.CV,65138,European:85.2|East Asian:8.7|African:3.9|South Asian:1.7|Hispanic or Latin American:0.3|Additional Asian Ancestries:0.1,European:100
Breast cancer,Train: European-only,South Asian,PGS004025,-0.035597617486722744,0.014812442388941924,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ldpred2.auto.GCST004988.Breast_cancer,LDpred2-auto,1041298,European:100,European:100
Breast cancer,Train: European-only,South Asian,PGS004040,-0.036171422360813166,0.014704846806928165,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ldpred2.CV.GCST004988.Breast_cancer,LDpred2.CV,1041298,European:100,European:100
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004041,0.0015454817105762242,0.011298571656155661,85.2,1.7,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,ldpred2.CV.GCST005838.Stroke,LDpred2.CV,1011468,European:85.2|East Asian:8.7|African:3.9|South Asian:1.7|Hispanic or Latin American:0.3|Additional Asian Ancestries:0.1,European:100
Breast cancer,Train: European-only,South Asian,PGS004053,-0.03502902943428221,0.014744525368471468,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,megaprs.auto.GCST004988.Breast_cancer,megaprs.auto,869407,European:100,European:100
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004054,-0.004638765746073359,0.011292974867384066,85.2,1.7,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,megaprs.auto.GCST005838.Stroke,megaprs.auto,852173,European:85.2|East Asian:8.7|African:3.9|South Asian:1.7|Hispanic or Latin American:0.3|Additional Asian Ancestries:0.1,European:100
Breast cancer,Train: European-only,South Asian,PGS004069,-0.03345216404111806,0.014430545870119748,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,megaprs.CV.GCST004988.Breast_cancer,megaprs.CV,869407,European:100,European:100
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004070,-0.004183091397301331,0.011353019136324919,85.2,1.7,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,megaprs.CV.GCST005838.Stroke,megaprs.CV,852173,European:85.2|East Asian:8.7|African:3.9|South Asian:1.7|Hispanic or Latin American:0.3|Additional Asian Ancestries:0.1,European:100
Breast cancer,Train: European-only,South Asian,PGS004083,-0.02927481180098901,0.014596155260741693,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,prscs.auto.GCST004988.Breast_cancer,PRS-CS-auto,1103877,European:100,European:100
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004098,0.010191526566252551,0.011371255302415366,85.2,1.7,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,prscs.CV.GCST005838.Stroke,PRS-CS.CV,1091747,European:85.2|East Asian:8.7|African:3.9|South Asian:1.7|Hispanic or Latin American:0.3|Additional Asian Ancestries:0.1,European:100
Type 2 diabetes,Train: European-only,South Asian,PGS004106,-0.018664817868028982,0.003530332420122733,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,pt_clump.auto.GCST004773.T2D,pt_clump.auto,35,European:100,European:100
Breast cancer,Train: European-only,South Asian,PGS004107,-0.02309685784606519,0.014356153587575,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,pt_clump.auto.GCST004988.Breast_cancer,pt_clump.auto,209,European:100,European:100
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004108,-0.011927004150997567,0.011742301146981186,85.2,1.7,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,pt_clump.auto.GCST005838.Stroke,pt_clump.auto,13,European:85.2|East Asian:8.7|African:3.9|South Asian:1.7|Hispanic or Latin American:0.3|Additional Asian Ancestries:0.1,European:100
Seropositive RA,Train: Multi incl. EUR,South Asian,PGS004118,0.06389454678874207,0.03183667377588799,18.7,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,pt_clump.auto.GCST90013534.RA,pt_clump.auto,91,East Asian:81.3|European:18.7,European:100
Breast cancer,Train: European-only,South Asian,PGS004123,-0.023043464512588985,0.014314215162653268,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,pt_clump_nested.CV.GCST004988.Breast_cancer,pt_clump_nested.CV,982,European:100,European:100
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004124,0.009713239104176763,0.01147278969083409,85.2,1.7,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,pt_clump_nested.CV.GCST005838.Stroke,pt_clump_nested.CV,5808,European:85.2|East Asian:8.7|African:3.9|South Asian:1.7|Hispanic or Latin American:0.3|Additional Asian Ancestries:0.1,European:100
Seropositive RA,Train: Multi incl. EUR,South Asian,PGS004133,0.03177793338439905,0.0342221346765779,18.7,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,pt_clump_nested.CV.GCST90013534.RA,pt_clump_nested.CV,155,East Asian:81.3|European:18.7,European:100
Breast cancer,Train: European-only,South Asian,PGS004153,-0.028031899065128374,0.014602776699983961,100,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,UKBB_EnsPGS.GCST004988.Breast_cancer,UKBB-EUR.MultiPRS.CV,1133268,European:100,European:100
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004154,-0.010925392299171444,0.011390922451119138,85.2,1.7,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,UKBB_EnsPGS.GCST005838.Stroke,UKBB-EUR.MultiPRS.CV,1116976,European:85.2|East Asian:8.7|African:3.9|South Asian:1.7|Hispanic or Latin American:0.3|Additional Asian Ancestries:0.1,European:100
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,PGS004696,-0.01200000000000001,0.00552832732555459,70.7,19.4,0,64.2,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,multi_anc_hg37CSx,PRS-CSx,1289980,European:70.7|East Asian:19.4|African:7|Hispanic or Latin American:2.8,European:64.2|African:19.4|Hispanic or Latin American:11.4|Multi-ancestry (excluding European):5
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,PGS004696,-0.06800000000000006,0.017254772082143394,70.7,2.8,0,64.2,11.4,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,multi_anc_hg37CSx,PRS-CSx,1289980,European:70.7|East Asian:19.4|African:7|Hispanic or Latin American:2.8,European:64.2|African:19.4|Hispanic or Latin American:11.4|Multi-ancestry (excluding European):5
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,PGS004696,0.029000000000000026,0.012462947232474849,70.7,0,0,64.2,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,multi_anc_hg37CSx,PRS-CSx,1289980,European:70.7|East Asian:19.4|African:7|Hispanic or Latin American:2.8,European:64.2|African:19.4|Hispanic or Latin American:11.4|Multi-ancestry (excluding European):5
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,PGS004697,-0.017000000000000015,0.005553369958203193,82.9,11.4,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,eur_anc_hg37CSx,PRS-CSx,1120251,European:82.9|East Asian:11.4|African:4.1|Hispanic or Latin American:1.6,European:100
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,PGS004697,-0.06500000000000006,0.01723526304571787,82.9,1.6,0,100,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,eur_anc_hg37CSx,PRS-CSx,1120251,European:82.9|East Asian:11.4|African:4.1|Hispanic or Latin American:1.6,European:100
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,PGS004697,0.030000000000000027,0.012464606097648285,82.9,0,0,100,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,eur_anc_hg37CSx,PRS-CSx,1120251,European:82.9|East Asian:11.4|African:4.1|Hispanic or Latin American:1.6,European:100
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,PGS004698,-0.025000000000000022,0.005580671061612449,70.7,19.4,0,64.2,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,multi_anc_hg37PT,Pruning and Thresholding (P+T),542218,European:70.7|East Asian:19.4|African:7|Hispanic or Latin American:2.8,European:64.2|African:19.4|Hispanic or Latin American:11.4|Multi-ancestry (excluding European):5
