PGS Performance Metric (PPM) ID,Evaluated Score,PGS Sample Set (PSS),PGS Publication (PGP) ID,Reported Trait,Covariates Included in the Model,PGS Performance: Other Relevant Information,Publication (PMID),Publication (doi),Hazard Ratio (HR),Odds Ratio (OR),Beta,Area Under the Receiver-Operating Characteristic Curve (AUROC),Concordance Statistic (C-index),Other Metric(s)
PPM006474,PGS001684,PSS006310,PGP000244,WA ICVF in tract superior thalamic radiation (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.11932 [0.11473,0.12391], Incremental R2 (full-covars) = 0.03262, PGS R2 (no covariates) = 0.03386 [0.03118,0.03655]"
PPM006475,PGS001685,PSS006311,PGP000244,WA ICVF in tract superior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.156 [0.13979,0.1722], Incremental R2 (full-covars) = 0.00314, PGS R2 (no covariates) = 0.00296 [0.00032,0.00559]"
PPM006476,PGS001685,PSS006312,PGP000244,WA ICVF in tract superior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.12521 [0.09587,0.15454], Incremental R2 (full-covars) = 0.0124, PGS R2 (no covariates) = 0.02939 [0.01362,0.04516]"
PPM006477,PGS001685,PSS006313,PGP000244,WA ICVF in tract superior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.16407 [0.15566,0.17248], Incremental R2 (full-covars) = 0.0328, PGS R2 (no covariates) = 0.02955 [0.0254,0.03369]"
PPM006478,PGS001685,PSS006314,PGP000244,WA ICVF in tract superior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.07254 [0.06148,0.0836], Incremental R2 (full-covars) = 0.01424, PGS R2 (no covariates) = 0.01386 [0.00872,0.01899]"
PPM006479,PGS001685,PSS006315,PGP000244,WA ICVF in tract superior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.11783 [0.11325,0.1224], Incremental R2 (full-covars) = 0.03772, PGS R2 (no covariates) = 0.03798 [0.03515,0.04081]"
PPM006480,PGS001686,PSS006316,PGP000244,WA ICVF in tract uncinate fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.07772 [0.06522,0.09022], Incremental R2 (full-covars) = 0.01227, PGS R2 (no covariates) = 0.0128 [0.00737,0.01823]"
PPM006481,PGS001686,PSS006317,PGP000244,WA ICVF in tract uncinate fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.11249 [0.08428,0.1407], Incremental R2 (full-covars) = 0.00083, PGS R2 (no covariates) = 0.00087 [-0.00192,0.00366]"
PPM006482,PGS001686,PSS006318,PGP000244,WA ICVF in tract uncinate fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.1454 [0.13731,0.15349], Incremental R2 (full-covars) = 0.02492, PGS R2 (no covariates) = 0.03243 [0.0281,0.03675]"
PPM006483,PGS001686,PSS006319,PGP000244,WA ICVF in tract uncinate fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.05479 [0.04499,0.06458], Incremental R2 (full-covars) = 0.00794, PGS R2 (no covariates) = 0.01162 [0.0069,0.01634]"
PPM006484,PGS001686,PSS006320,PGP000244,WA ICVF in tract uncinate fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.08052 [0.07658,0.08446], Incremental R2 (full-covars) = 0.01065, PGS R2 (no covariates) = 0.01131 [0.00972,0.01289]"
PPM006485,PGS001687,PSS006321,PGP000244,WA ICVF in tract uncinate fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.1207 [0.10585,0.13555], Incremental R2 (full-covars) = 0.00432, PGS R2 (no covariates) = 0.0028 [0.00023,0.00536]"
PPM006486,PGS001687,PSS006322,PGP000244,WA ICVF in tract uncinate fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.17864 [0.14574,0.21153], Incremental R2 (full-covars) = 0.05194, PGS R2 (no covariates) = 0.04668 [0.02716,0.06619]"
PPM006487,PGS001687,PSS006323,PGP000244,WA ICVF in tract uncinate fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.15517 [0.1469,0.16343], Incremental R2 (full-covars) = 0.04515, PGS R2 (no covariates) = 0.04354 [0.03858,0.04849]"
PPM006488,PGS001687,PSS006324,PGP000244,WA ICVF in tract uncinate fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.08306 [0.07136,0.09476], Incremental R2 (full-covars) = 0.03116, PGS R2 (no covariates) = 0.04136 [0.03272,0.04999]"
PPM006489,PGS001687,PSS006325,PGP000244,WA ICVF in tract uncinate fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.08961 [0.08549,0.09372], Incremental R2 (full-covars) = 0.025, PGS R2 (no covariates) = 0.02534 [0.023,0.02768]"
PPM006490,PGS001766,PSS006326,PGP000244,WA OD in tract corticospinal tract (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.06375 [0.05226,0.07525], Incremental R2 (full-covars) = -6e-05, PGS R2 (no covariates) = 0.02326 [0.01602,0.0305]"
PPM006491,PGS001766,PSS006327,PGP000244,WA OD in tract corticospinal tract (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.07683 [0.05258,0.10108], Incremental R2 (full-covars) = -3e-05, PGS R2 (no covariates) = 0.00316 [-0.00215,0.00847]"
PPM006492,PGS001766,PSS006328,PGP000244,WA OD in tract corticospinal tract (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.07347 [0.06723,0.07971], Incremental R2 (full-covars) = 3e-05, PGS R2 (no covariates) = 0.00054 [-3e-05,0.00112]"
PPM006493,PGS001766,PSS006329,PGP000244,WA OD in tract corticospinal tract (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.07085 [0.0599,0.0818], Incremental R2 (full-covars) = 5e-05, PGS R2 (no covariates) = 0.00478 [0.00173,0.00782]"
PPM006494,PGS001766,PSS006330,PGP000244,WA OD in tract corticospinal tract (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.06388 [0.0603,0.06745], Incremental R2 (full-covars) = 0.0001, PGS R2 (no covariates) = 0.00523 [0.00414,0.00632]"
PPM006495,PGS001767,PSS006331,PGP000244,WA OD in tract inferior longitudinal fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.13241 [0.11706,0.14775], Incremental R2 (full-covars) = 0.00274, PGS R2 (no covariates) = 0.00115 [-0.0005,0.00279]"
PPM006496,PGS001767,PSS006332,PGP000244,WA OD in tract inferior longitudinal fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.23492 [0.19978,0.27006], Incremental R2 (full-covars) = -9e-05, PGS R2 (no covariates) = 0.01234 [0.00194,0.02273]"
PPM006497,PGS001767,PSS006333,PGP000244,WA OD in tract inferior longitudinal fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.03477 [0.0303,0.03924], Incremental R2 (full-covars) = 0.00487, PGS R2 (no covariates) = 0.00657 [0.00457,0.00857]"
PPM006498,PGS001767,PSS006334,PGP000244,WA OD in tract inferior longitudinal fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.05183 [0.04228,0.06139], Incremental R2 (full-covars) = -0.0053, PGS R2 (no covariates) = 9e-05 [-0.00032,0.00049]"
PPM006499,PGS001767,PSS006335,PGP000244,WA OD in tract inferior longitudinal fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.02314 [0.0209,0.02539], Incremental R2 (full-covars) = 0.00415, PGS R2 (no covariates) = 0.00401 [0.00306,0.00496]"
PPM006500,PGS001768,PSS006336,PGP000244,WA OD in tract medial lemniscus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.10172 [0.0878,0.11565], Incremental R2 (full-covars) = -0.00461, PGS R2 (no covariates) = 1e-05 [-0.00012,0.00013]"
PPM006501,PGS001768,PSS006337,PGP000244,WA OD in tract medial lemniscus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.18369 [0.15053,0.21684], Incremental R2 (full-covars) = 0.01058, PGS R2 (no covariates) = 0.01037 [0.00082,0.01991]"
PPM006502,PGS001768,PSS006338,PGP000244,WA OD in tract medial lemniscus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.05288 [0.04747,0.05829], Incremental R2 (full-covars) = 0.00734, PGS R2 (no covariates) = 0.00871 [0.00641,0.011]"
PPM006503,PGS001768,PSS006339,PGP000244,WA OD in tract medial lemniscus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.06779 [0.05705,0.07854], Incremental R2 (full-covars) = 0.0112, PGS R2 (no covariates) = 0.00999 [0.00561,0.01437]"
PPM006504,PGS001768,PSS006340,PGP000244,WA OD in tract medial lemniscus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.03749 [0.03468,0.04031], Incremental R2 (full-covars) = 0.00606, PGS R2 (no covariates) = 0.00651 [0.0053,0.00772]"
PPM006505,PGS001769,PSS006341,PGP000244,WA OD in tract superior longitudinal fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.03423 [0.02555,0.04292], Incremental R2 (full-covars) = -0.01756, PGS R2 (no covariates) = 2e-05 [-0.00021,0.00026]"
PPM006506,PGS001769,PSS006342,PGP000244,WA OD in tract superior longitudinal fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.09796 [0.07121,0.12472], Incremental R2 (full-covars) = -0.01703, PGS R2 (no covariates) = 0.00031 [-0.00136,0.00198]"
PPM006507,PGS001769,PSS006343,PGP000244,WA OD in tract superior longitudinal fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.05409 [0.04863,0.05955], Incremental R2 (full-covars) = 0.02406, PGS R2 (no covariates) = 0.02261 [0.01896,0.02626]"
PPM006508,PGS001769,PSS006344,PGP000244,WA OD in tract superior longitudinal fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.04226 [0.03354,0.05098], Incremental R2 (full-covars) = 0.01981, PGS R2 (no covariates) = 0.02037 [0.01418,0.02656]"
PPM006509,PGS001769,PSS006345,PGP000244,WA OD in tract superior longitudinal fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.03208 [0.02946,0.0347], Incremental R2 (full-covars) = 0.01009, PGS R2 (no covariates) = 0.01098 [0.00942,0.01255]"
PPM006510,PGS001770,PSS006346,PGP000244,WA OD in tract superior longitudinal fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.14988 [0.13388,0.16588], Incremental R2 (full-covars) = 0.01393, PGS R2 (no covariates) = 0.02826 [0.02032,0.0362]"
PPM006511,PGS001770,PSS006347,PGP000244,WA OD in tract superior longitudinal fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.15373 [0.12228,0.18517], Incremental R2 (full-covars) = 0.0043, PGS R2 (no covariates) = 0.01199 [0.00174,0.02224]"
PPM006512,PGS001770,PSS006348,PGP000244,WA OD in tract superior longitudinal fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.05638 [0.05081,0.06194], Incremental R2 (full-covars) = 0.01726, PGS R2 (no covariates) = 0.0182 [0.01491,0.02149]"
PPM006513,PGS001770,PSS006349,PGP000244,WA OD in tract superior longitudinal fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.04433 [0.03542,0.05324], Incremental R2 (full-covars) = 0.00553, PGS R2 (no covariates) = 0.0049 [0.00181,0.00798]"
PPM006514,PGS001770,PSS006350,PGP000244,WA OD in tract superior longitudinal fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.04431 [0.04128,0.04735], Incremental R2 (full-covars) = 0.00918, PGS R2 (no covariates) = 0.00897 [0.00755,0.01038]"
PPM006515,PGS001771,PSS006351,PGP000244,WA OD in tract superior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.21404 [0.19637,0.23171], Incremental R2 (full-covars) = -0.00391, PGS R2 (no covariates) = 0.00119 [-0.00048,0.00287]"
PPM006516,PGS001771,PSS006352,PGP000244,WA OD in tract superior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.1263 [0.09687,0.15572], Incremental R2 (full-covars) = 0.00185, PGS R2 (no covariates) = 0.01103 [0.00119,0.02087]"
PPM006517,PGS001771,PSS006353,PGP000244,WA OD in tract superior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.19763 [0.18877,0.20649], Incremental R2 (full-covars) = 0.01666, PGS R2 (no covariates) = 0.01764 [0.0144,0.02088]"
PPM006518,PGS001771,PSS006354,PGP000244,WA OD in tract superior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.11276 [0.09957,0.12595], Incremental R2 (full-covars) = 0.01995, PGS R2 (no covariates) = 0.01883 [0.01286,0.02479]"
PPM006519,PGS001771,PSS006355,PGP000244,WA OD in tract superior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.17298 [0.16779,0.17817], Incremental R2 (full-covars) = 0.01579, PGS R2 (no covariates) = 0.01459 [0.01279,0.01639]"
PPM006520,PGS001688,PSS006356,PGP000244,WA ISOVF in tract acoustic radiation (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.05855 [0.04747,0.06962], Incremental R2 (full-covars) = -0.00718, PGS R2 (no covariates) = 0.00589 [0.00218,0.0096]"
PPM006521,PGS001688,PSS006357,PGP000244,WA ISOVF in tract acoustic radiation (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.06116 [0.03916,0.08317], Incremental R2 (full-covars) = 0.00566, PGS R2 (no covariates) = 0.00467 [-0.00178,0.01111]"
PPM006522,PGS001688,PSS006358,PGP000244,WA ISOVF in tract acoustic radiation (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.00712 [0.00504,0.0092], Incremental R2 (full-covars) = 0.00135, PGS R2 (no covariates) = 0.00163 [0.00063,0.00263]"
PPM006523,PGS001688,PSS006359,PGP000244,WA ISOVF in tract acoustic radiation (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.08547 [0.07364,0.09731], Incremental R2 (full-covars) = 0.00946, PGS R2 (no covariates) = 0.01028 [0.00583,0.01472]"
PPM006524,PGS001688,PSS006360,PGP000244,WA ISOVF in tract acoustic radiation (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.00904 [0.00762,0.01046], Incremental R2 (full-covars) = 0.00441, PGS R2 (no covariates) = 0.00444 [0.00344,0.00545]"
PPM006525,PGS001689,PSS006361,PGP000244,WA ISOVF in tract acoustic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.06679 [0.05507,0.07852], Incremental R2 (full-covars) = -0.00916, PGS R2 (no covariates) = 0.00033 [-0.00055,0.00121]"
PPM006526,PGS001689,PSS006362,PGP000244,WA ISOVF in tract acoustic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.04632 [0.02687,0.06577], Incremental R2 (full-covars) = -0.01373, PGS R2 (no covariates) = 0.00467 [-0.00178,0.01111]"
PPM006527,PGS001689,PSS006363,PGP000244,WA ISOVF in tract acoustic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.01976 [0.01633,0.02318], Incremental R2 (full-covars) = -0.00044, PGS R2 (no covariates) = 0.00225 [0.00107,0.00342]"
PPM006528,PGS001689,PSS006364,PGP000244,WA ISOVF in tract acoustic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.03296 [0.02519,0.04074], Incremental R2 (full-covars) = 0.01071, PGS R2 (no covariates) = 0.00836 [0.00434,0.01237]"
PPM006529,PGS001689,PSS006365,PGP000244,WA ISOVF in tract acoustic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.03035 [0.0278,0.0329], Incremental R2 (full-covars) = 0.00543, PGS R2 (no covariates) = 0.00632 [0.00513,0.00751]"
PPM006530,PGS001690,PSS006366,PGP000244,WA ISOVF in tract anterior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.20334 [0.18588,0.22081], Incremental R2 (full-covars) = 0.00533, PGS R2 (no covariates) = 0.00413 [0.00102,0.00724]"
PPM006531,PGS001690,PSS006367,PGP000244,WA ISOVF in tract anterior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.19487 [0.16119,0.22855], Incremental R2 (full-covars) = -0.01444, PGS R2 (no covariates) = 0.03411 [0.0172,0.05101]"
PPM006532,PGS001690,PSS006368,PGP000244,WA ISOVF in tract anterior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.0943 [0.08739,0.10121], Incremental R2 (full-covars) = 0.00377, PGS R2 (no covariates) = 0.004 [0.00243,0.00556]"
PPM006533,PGS001690,PSS006369,PGP000244,WA ISOVF in tract anterior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.09092 [0.07878,0.10305], Incremental R2 (full-covars) = -0.00405, PGS R2 (no covariates) = 0.00106 [-0.00038,0.00249]"
PPM006534,PGS001690,PSS006370,PGP000244,WA ISOVF in tract anterior thalamic radiation (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.11814 [0.11357,0.12272], Incremental R2 (full-covars) = 0.00393, PGS R2 (no covariates) = 0.00371 [0.0028,0.00463]"
PPM006535,PGS001691,PSS006371,PGP000244,WA ISOVF in tract cingulate gyrus part of cingulum (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.10902 [0.09473,0.12332], Incremental R2 (full-covars) = 0.00064, PGS R2 (no covariates) = 0.00285 [0.00026,0.00544]"
PPM006536,PGS001691,PSS006372,PGP000244,WA ISOVF in tract cingulate gyrus part of cingulum (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.06862 [0.0455,0.09174], Incremental R2 (full-covars) = 0.01507, PGS R2 (no covariates) = 0.01824 [0.00568,0.03081]"
PPM006537,PGS001691,PSS006373,PGP000244,WA ISOVF in tract cingulate gyrus part of cingulum (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.01414 [0.01123,0.01705], Incremental R2 (full-covars) = 0.00564, PGS R2 (no covariates) = 0.00606 [0.00414,0.00799]"
PPM006538,PGS001691,PSS006374,PGP000244,WA ISOVF in tract cingulate gyrus part of cingulum (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.04499 [0.03602,0.05396], Incremental R2 (full-covars) = 0.00834, PGS R2 (no covariates) = 0.00905 [0.00488,0.01323]"
PPM006539,PGS001691,PSS006375,PGP000244,WA ISOVF in tract cingulate gyrus part of cingulum (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.01099 [0.00942,0.01255], Incremental R2 (full-covars) = 0.00663, PGS R2 (no covariates) = 0.0067 [0.00548,0.00793]"
PPM006540,PGS001692,PSS006376,PGP000244,WA ISOVF in tract cingulate gyrus part of cingulum (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.08586 [0.07284,0.09888], Incremental R2 (full-covars) = -0.00186, PGS R2 (no covariates) = 0.0 [-1e-05,1e-05]"
PPM006541,PGS001692,PSS006377,PGP000244,WA ISOVF in tract cingulate gyrus part of cingulum (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.10247 [0.07525,0.1297], Incremental R2 (full-covars) = 0.01283, PGS R2 (no covariates) = 0.03503 [0.01792,0.05215]"
PPM006542,PGS001692,PSS006378,PGP000244,WA ISOVF in tract cingulate gyrus part of cingulum (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.01421 [0.01129,0.01713], Incremental R2 (full-covars) = 0.00518, PGS R2 (no covariates) = 0.0053 [0.0035,0.0071]"
PPM006543,PGS001692,PSS006379,PGP000244,WA ISOVF in tract cingulate gyrus part of cingulum (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.0646 [0.05408,0.07513], Incremental R2 (full-covars) = 0.00835, PGS R2 (no covariates) = 0.01704 [0.01136,0.02273]"
PPM006544,PGS001692,PSS006380,PGP000244,WA ISOVF in tract cingulate gyrus part of cingulum (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.00969 [0.00822,0.01116], Incremental R2 (full-covars) = 0.0057, PGS R2 (no covariates) = 0.00608 [0.00491,0.00725]"
PPM006545,PGS001693,PSS006381,PGP000244,WA ISOVF in tract inferior fronto-occipital fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.15063 [0.13461,0.16666], Incremental R2 (full-covars) = 0.02497, PGS R2 (no covariates) = 0.02695 [0.01918,0.03471]"
PPM006546,PGS001693,PSS006382,PGP000244,WA ISOVF in tract inferior fronto-occipital fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.22219 [0.18745,0.25694], Incremental R2 (full-covars) = 0.01669, PGS R2 (no covariates) = 0.01941 [0.00647,0.03236]"
PPM006547,PGS001693,PSS006383,PGP000244,WA ISOVF in tract inferior fronto-occipital fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.06477 [0.05886,0.07068], Incremental R2 (full-covars) = 0.01624, PGS R2 (no covariates) = 0.0157 [0.01263,0.01876]"
PPM006548,PGS001693,PSS006384,PGP000244,WA ISOVF in tract inferior fronto-occipital fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.07541 [0.06417,0.08665], Incremental R2 (full-covars) = 0.01019, PGS R2 (no covariates) = 0.01337 [0.00832,0.01842]"
PPM006549,PGS001693,PSS006385,PGP000244,WA ISOVF in tract inferior fronto-occipital fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.0711 [0.06736,0.07484], Incremental R2 (full-covars) = 0.02128, PGS R2 (no covariates) = 0.02216 [0.01997,0.02436]"
PPM006550,PGS001694,PSS006386,PGP000244,WA ISOVF in tract inferior fronto-occipital fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.18941 [0.17227,0.20656], Incremental R2 (full-covars) = 0.03946, PGS R2 (no covariates) = 0.06545 [0.05383,0.07707]"
PPM006551,PGS001694,PSS006387,PGP000244,WA ISOVF in tract inferior fronto-occipital fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.16059 [0.12871,0.19247], Incremental R2 (full-covars) = -0.00467, PGS R2 (no covariates) = 0.00048 [-0.00159,0.00255]"
PPM006552,PGS001694,PSS006388,PGP000244,WA ISOVF in tract inferior fronto-occipital fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.06651 [0.06053,0.07249], Incremental R2 (full-covars) = 0.02117, PGS R2 (no covariates) = 0.02231 [0.01868,0.02594]"
PPM006553,PGS001694,PSS006389,PGP000244,WA ISOVF in tract inferior fronto-occipital fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.10433 [0.09153,0.11714], Incremental R2 (full-covars) = 0.02501, PGS R2 (no covariates) = 0.03195 [0.02429,0.03962]"
PPM006554,PGS001694,PSS006390,PGP000244,WA ISOVF in tract inferior fronto-occipital fasciculus (R),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.07299 [0.06921,0.07678], Incremental R2 (full-covars) = 0.01508, PGS R2 (no covariates) = 0.01662 [0.01471,0.01853]"
PPM006555,PGS001695,PSS006391,PGP000244,WA ISOVF in tract inferior longitudinal fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.19586 [0.17857,0.21316], Incremental R2 (full-covars) = 0.04377, PGS R2 (no covariates) = 0.07442 [0.06214,0.08669]"
PPM006556,PGS001695,PSS006392,PGP000244,WA ISOVF in tract inferior longitudinal fasciculus (L),"age, sex, UKB array type, Genotype PCs",,35324888,10.1371/journal.pgen.1010105,,,,,,"R² = 0.21943 [0.18478,0.25408], Incremental R2 (full-covars) = -0.00233, PGS R2 (no covariates) = 0.00423 [-0.00191,0.01037]"
